cnpj;vl_fatu;vl_sldo;dt_abrt;ds_cnae;dt_refe
CNPJ_04681;126786;4083;2023-05-11;Fabricação de caminhões e ônibus;2025-02-28
CNPJ_04682;1526218;-124659;2016-07-01;Produção cinematográfica;2025-02-28
CNPJ_04683;2149473;-210895;2015-07-06;Defesa nacional;2025-02-28
CNPJ_04684;159640020;-5039889;1999-10-26;Saneamento básico;2025-02-28
CNPJ_04685;1935253;-158163;2018-08-30;Educação superior;2025-02-28
CNPJ_04686;2241652;-113094;2014-01-07;Serviços de tecnologia da informação;2025-02-28
CNPJ_04687;1784922;-137414;2015-01-11;Restaurantes e similares;2025-02-28
CNPJ_04688;274943;18775;2021-07-09;Produção de ferro-gusa;2025-02-28
CNPJ_04689;120746;-1577;2022-10-16;Atividades hospitalares;2025-02-28
CNPJ_04690;2250025;112008;2019-01-15;Seguros de vida;2025-02-28
CNPJ_04691;2068463;-167430;2016-03-21;Obras de infraestrutura elétrica;2025-02-28
CNPJ_04692;223108;6992;2022-09-05;Transporte ferroviário de carga;2025-02-28
CNPJ_04693;1650865;145717;2019-11-14;Televisão por assinatura;2025-02-28
CNPJ_04694;900785;376;2019-05-24;Construção de rodovias;2025-02-28
CNPJ_04695;1380572;134757;2015-06-30;Planos de saúde;2025-02-28
CNPJ_04696;2149538;-185283;2016-08-09;Extração de petróleo e gás natural;2025-02-28
CNPJ_04697;276751;23280;2020-06-16;Hotéis e pousadas;2025-02-28
CNPJ_04698;11846328;648999;2016-07-06;Comércio atacadista de calçados;2025-02-28
CNPJ_04699;2715220;206175;2018-08-27;Engenharia civil;2025-02-28
CNPJ_04700;303364;-25625;2016-09-17;Transporte rodoviário de carga;2025-02-28
CNPJ_04701;948491;-41131;2017-04-05;Comércio atacadista de tecidos;2025-02-28
CNPJ_04702;361426;-27546;2022-09-07;Planos de saúde;2025-02-28
CNPJ_04703;64136;-4973;2023-01-09;Extração de petróleo e gás natural;2025-02-28
CNPJ_04704;24689232;1221138;2009-08-13;Transporte rodoviário de carga;2025-02-28
CNPJ_04705;18291286;978703;2000-04-15;Distribuição de energia elétrica;2025-02-28
CNPJ_04706;2971429;130342;2021-04-15;Atividades de bancos múltiplos;2025-02-28
CNPJ_04707;358861;19649;2022-02-11;Fabricação de caminhões e ônibus;2025-02-28
CNPJ_04708;176807;16537;2023-08-20;Saneamento básico;2025-02-28
CNPJ_04709;580597;57548;2021-05-09;Construção de rodovias;2025-02-28
CNPJ_04710;307408;-17347;2018-10-13;Defesa nacional;2025-02-28
CNPJ_04711;64899;-1301;2022-08-13;Fabricação de móveis;2025-02-28
CNPJ_04712;175852;-639;2019-06-28;Armazenamento geral;2025-02-28
CNPJ_04713;260607;19864;2021-01-01;Administração pública;2025-02-28
CNPJ_04714;162150163;-6143328;1998-03-10;Cultivo de arroz;2025-02-28
CNPJ_04715;26948991;759686;2003-02-06;Cultivo de milho;2025-02-28
CNPJ_04716;153136;-2585;2021-05-04;Comércio atacadista de medicamentos;2025-02-28
CNPJ_04717;1466618;-60466;2014-12-15;Consultoria empresarial;2025-02-28
CNPJ_04718;2892744;172000;2020-04-01;Cultivo de arroz;2025-02-28
CNPJ_04719;23368144;-467026;2012-11-06;Fabricação de automóveis;2025-02-28
CNPJ_04720;265931;-24456;2019-08-17;Produção de alumínio;2025-02-28
CNPJ_04721;166578;-9484;2021-11-28;Cultivo de arroz;2025-02-28
CNPJ_04722;1563264;81532;2018-04-15;Defesa nacional;2025-02-28
CNPJ_04723;235494;32479;2022-02-04;Comércio atacadista de alimentos;2025-02-28
CNPJ_04724;149479;-8586;2023-02-06;Comércio atacadista de alimentos;2025-02-28
CNPJ_04725;234167;16770;2022-03-08;Educação superior;2025-02-28
CNPJ_04726;105349210;-5128279;1995-04-09;Fabricação de produtos químicos;2025-02-28
CNPJ_04727;346320;11881;2020-05-17;Produção de alumínio;2025-02-28
CNPJ_04728;124875;-1380;2020-12-10;Fabricação de produtos químicos;2025-02-28
CNPJ_04729;1259548;-156517;2015-11-14;Administração pública;2025-02-28
CNPJ_04730;60266;-1186;2022-01-29;Correios e entregas expressas;2025-02-28
CNPJ_04731;344984;34539;2019-08-31;Armazenamento geral;2025-02-28
CNPJ_04732;2548344;220379;2014-12-23;Extração de minério de ferro;2025-02-28
CNPJ_04733;250428;-24346;2022-08-23;Comércio atacadista de tecidos;2025-02-28
CNPJ_04734;199492716;3755539;2010-09-19;Fabricação de papel;2025-02-28
CNPJ_04735;152062;-3828;2021-08-07;Fabricação de caminhões e ônibus;2025-02-28
CNPJ_04736;14720040;714274;2015-08-23;Distribuição de energia elétrica;2025-02-28
CNPJ_04737;299997;22139;2021-06-03;Serviços de tecnologia da informação;2025-02-28
CNPJ_04738;110520160;-8362103;2006-03-03;Geração de energia elétrica;2025-02-28
CNPJ_04739;1954157;-156564;2019-04-08;Telecomunicações sem fio;2025-02-28
CNPJ_04740;26953414;-1136585;2015-07-14;Construção de barragens;2025-02-28
CNPJ_04741;2874172;254463;2018-04-15;Fabricação de caminhões e ônibus;2025-02-28
CNPJ_04742;218955;15576;2020-04-04;Serviços de tecnologia da informação;2025-02-28
CNPJ_04743;2113397;108358;2022-11-14;Restaurantes e similares;2025-02-28
CNPJ_04744;197875;16016;2021-02-13;Fabricação de caminhões e ônibus;2025-02-28
CNPJ_04745;1830043;-26602;2018-01-26;Comércio atacadista de calçados;2025-02-28
CNPJ_04746;269954;12756;2022-04-21;Produção de ferro-gusa;2025-02-28
CNPJ_04747;814839;36076;2020-01-07;Televisão por assinatura;2025-02-28
CNPJ_04748;2410874;27177;2014-05-20;Padaria e confeitaria;2025-02-28
CNPJ_04749;208119;3937;2022-12-22;Extração de minério de ferro;2025-02-28
CNPJ_04750;4479137;232692;2007-03-05;Comércio atacadista de tecidos;2025-02-28
CNPJ_04751;170369;-15987;2019-09-01;Construção de barragens;2025-02-28
CNPJ_04752;272506;22140;2021-11-09;Fabricação de papel;2025-02-28
CNPJ_04753;1348918;-149179;2015-11-11;Saneamento básico;2025-02-28
CNPJ_04754;1586318;-37065;2021-07-25;Saneamento básico;2025-02-28
CNPJ_04755;289897;-18243;2023-01-06;Atividades de bancos múltiplos;2025-02-28
CNPJ_04756;159524028;15907309;2003-01-09;Defesa nacional;2025-02-28
CNPJ_04757;835087;66307;2015-12-01;Fabricação de caminhões e ônibus;2025-02-28
CNPJ_04758;2898226;81227;2017-11-25;Construção de edifícios;2025-02-28
CNPJ_04759;1402015;-10544;2021-01-16;Engenharia civil;2025-02-28
CNPJ_04760;96778977;-7409686;2002-01-30;Fabricação de automóveis;2025-02-28
CNPJ_04761;7641848;508600;2010-05-07;Comércio atacadista de calçados;2025-02-28
CNPJ_04762;1665552;-92566;2015-04-26;Comércio atacadista de alimentos;2025-02-28
CNPJ_04763;1559996;-93851;2015-10-25;Comércio varejista de alimentos;2025-02-28
CNPJ_04764;2873246;174042;2017-06-18;Planos de saúde;2025-02-28
CNPJ_04765;155442;-1863;2022-06-30;Comércio atacadista de bebidas;2025-02-28
CNPJ_04766;2012791;-289833;2016-03-10;Construção de edifícios;2025-02-28
CNPJ_04767;12041768;153819;2004-08-11;Educação superior;2025-02-28
CNPJ_04768;2207155;96569;2015-06-15;Cultivo de milho;2025-02-28
CNPJ_04769;1749510;-179988;2018-09-24;Comércio atacadista de alimentos;2025-02-28
CNPJ_04770;486034;39981;2018-09-16;Extração de petróleo e gás natural;2025-02-28
CNPJ_04771;1392549;-56144;2017-07-28;Restaurantes e similares;2025-02-28
CNPJ_04772;2967634;-193134;2017-08-24;Fabricação de caminhões e ônibus;2025-02-28
CNPJ_04773;2194988;-42270;2016-08-27;Construção de barragens;2025-02-28
CNPJ_04774;1296081;186350;2015-03-24;Produção de alumínio;2025-02-28
CNPJ_04775;2269608;180661;2020-09-29;Transporte rodoviário de carga;2025-02-28
CNPJ_04776;2719318;-131708;2020-05-06;Construção de rodovias;2025-02-28
CNPJ_04777;515352;-38443;2022-06-11;Armazenamento geral;2025-02-28
CNPJ_04778;1799241;234051;2019-04-06;Saneamento básico;2025-02-28
CNPJ_04779;1109097;-20639;2021-12-03;Comércio atacadista de medicamentos;2025-02-28
CNPJ_04780;92697;-3421;2020-11-10;Consultoria empresarial;2025-02-28
CNPJ_04781;171618835;19201295;2005-04-22;Consultoria empresarial;2025-02-28
CNPJ_04782;2787244;39128;2021-09-22;Comércio atacadista de tecidos;2025-02-28
CNPJ_04783;58391;5777;2019-08-07;Planos de saúde;2025-02-28
CNPJ_04784;1474129;59385;2020-05-28;Comércio atacadista de alimentos;2025-02-28
CNPJ_04785;2455060;-90311;2018-07-20;Seguros de vida;2025-02-28
CNPJ_04786;232095;-16407;2022-01-08;Consultoria empresarial;2025-02-28
CNPJ_04787;224289;-17052;2022-12-20;Padaria e confeitaria;2025-02-28
CNPJ_04788;843742;-110480;2014-10-07;Restaurantes e similares;2025-02-28
CNPJ_04789;992078;-30144;2015-07-13;Cultivo de trigo;2025-02-28
CNPJ_04790;264782;-19699;2023-08-18;Hotéis e pousadas;2025-02-28
CNPJ_04791;188723;-23120;2021-03-07;Defesa nacional;2025-02-28
CNPJ_04792;173230;-5378;2020-03-31;Educação superior;2025-02-28
CNPJ_04793;2400483;-112418;2022-01-29;Comércio atacadista de tecidos;2025-02-28
CNPJ_04794;1974913;-30666;2014-04-06;Transporte ferroviário de carga;2025-02-28
CNPJ_04795;161993;-16305;2019-06-27;Defesa nacional;2025-02-28
CNPJ_04796;262282;18282;2022-11-17;Educação superior;2025-02-28
CNPJ_04797;108557;-5207;2023-06-21;Obras de infraestrutura elétrica;2025-02-28
CNPJ_04798;4094587;21409;2005-06-01;Produção cinematográfica;2025-02-28
CNPJ_04799;103962;-10211;2023-12-11;Fabricação de caminhões e ônibus;2025-02-28
CNPJ_04800;8381228;462801;2011-04-29;Hotéis e pousadas;2025-02-28
CNPJ_04801;2171703;153871;2018-10-13;Transporte rodoviário de carga;2025-02-28
CNPJ_04802;158533;9111;2022-04-20;Geração de energia elétrica;2025-02-28
CNPJ_04803;6141949;436878;2015-12-16;Fabricação de produtos químicos;2025-02-28
CNPJ_04804;2954202;-377675;2022-02-18;Comércio atacadista de medicamentos;2025-02-28
CNPJ_04805;111935451;4878071;2006-02-18;Armazenamento geral;2025-02-28
CNPJ_04806;295401;-12232;2020-01-18;Produção de alumínio;2025-02-28
CNPJ_04807;1672139;141020;2017-12-04;Comércio atacadista de tecidos;2025-02-28
CNPJ_04808;1512587;36324;2018-04-06;Obras de infraestrutura elétrica;2025-02-28
CNPJ_04809;196685;-11701;2021-09-14;Produção cinematográfica;2025-02-28
CNPJ_04810;716059;35192;2022-02-17;Comércio atacadista de tecidos;2025-02-28
CNPJ_04811;13572223;811329;2019-05-22;Cultivo de trigo;2025-02-28
CNPJ_04812;1430647;-71094;2015-05-08;Cultivo de soja;2025-02-28
CNPJ_04813;2889404;-30129;2020-09-29;Televisão aberta;2025-02-28
CNPJ_04814;185746;-925;2019-01-28;Padaria e confeitaria;2025-02-28
CNPJ_04815;199244467;-17995130;2015-12-13;Produção de alumínio;2025-02-28
CNPJ_04816;21305193;1192621;2014-02-15;Extração de petróleo e gás natural;2025-02-28
CNPJ_04817;146572766;-7060266;2006-04-23;Montagem industrial;2025-02-28
CNPJ_04818;253522;19928;2019-05-23;Televisão por assinatura;2025-02-28
CNPJ_04819;497967;538;2016-06-14;Cultivo de trigo;2025-02-28
CNPJ_04820;145870;6851;2022-11-06;Atividades hospitalares;2025-02-28
CNPJ_04821;280577;-27622;2020-11-21;Saneamento básico;2025-02-28
CNPJ_04822;25981756;113513;2014-12-20;Engenharia civil;2025-02-28
CNPJ_04823;267056;-3089;2023-06-02;Administração pública;2025-02-28
CNPJ_04824;244805;-17764;2020-05-17;Comércio atacadista de bebidas;2025-02-28
CNPJ_04825;334469;24808;2014-05-01;Geração de energia elétrica;2025-02-28
CNPJ_04826;14847423;-503979;2000-03-30;Cultivo de milho;2025-02-28
CNPJ_04827;1809439;-44425;2019-01-14;Serviços de tecnologia da informação;2025-02-28
CNPJ_04828;184579784;6038350;2008-03-26;Seguros de vida;2025-02-28
CNPJ_04829;1093600;-6184;2020-06-25;Engenharia civil;2025-02-28
CNPJ_04830;2620702;139223;2020-03-26;Fabricação de produtos químicos;2025-02-28
CNPJ_04831;1718737;-18749;2018-10-31;Hotéis e pousadas;2025-02-28
CNPJ_04832;97686;2812;2019-11-04;Planos de saúde;2025-02-28
CNPJ_04833;1962947;-12964;2020-08-01;Cultivo de milho;2025-02-28
CNPJ_04834;2702529;-112457;2018-07-20;Cultivo de soja;2025-02-28
CNPJ_04835;279774;14437;2019-10-22;Comércio atacadista de alimentos;2025-02-28
CNPJ_04836;254828;19120;2023-05-27;Transporte ferroviário de carga;2025-02-28
CNPJ_04837;139087;11536;2020-02-21;Restaurantes e similares;2025-02-28
CNPJ_04838;252006;-18486;2021-04-25;Comércio varejista de combustíveis;2025-02-28
CNPJ_04839;212915;5229;2020-07-22;Fabricação de móveis;2025-02-28
CNPJ_04840;139013;-7846;2020-06-12;Fabricação de caminhões e ônibus;2025-02-28
CNPJ_04841;2101560;16450;2015-06-20;Cultivo de soja;2025-02-28
CNPJ_04842;1466963;67803;2014-02-06;Comércio atacadista de tecidos;2025-02-28
CNPJ_04843;202653;15152;2022-02-28;Televisão aberta;2025-02-28
CNPJ_04844;182629;23309;2024-01-02;Obras de infraestrutura elétrica;2025-02-28
CNPJ_04845;270374;-1203;2019-03-11;Serviços de tecnologia da informação;2025-02-28
CNPJ_04846;1283068;8571;2021-12-13;Extração de petróleo e gás natural;2025-02-28
CNPJ_04847;294424;-5190;2022-09-07;Transporte rodoviário de carga;2025-02-28
CNPJ_04848;222382;26561;2021-10-26;Consultoria empresarial;2025-02-28
CNPJ_04849;1918056;-138762;2015-09-24;Armazenamento geral;2025-02-28
CNPJ_04850;165602;6104;2021-04-27;Comércio varejista de alimentos;2025-02-28
CNPJ_04851;130062;-3697;2022-08-05;Fabricação de móveis;2025-02-28
CNPJ_04852;101122350;2338312;2005-03-30;Engenharia civil;2025-02-28
CNPJ_04853;945101;71495;2018-10-07;Armazenamento geral;2025-02-28
CNPJ_04854;820742;4809;2019-11-29;Cultivo de arroz;2025-02-28
CNPJ_04855;85043153;2096524;1999-12-26;Comércio varejista de alimentos;2025-02-28
CNPJ_04856;976786;19515;2020-08-07;Engenharia civil;2025-02-28
CNPJ_04857;13896782;1318364;2015-05-14;Correios e entregas expressas;2025-02-28
CNPJ_04858;93293763;-4152201;2012-02-23;Produção cinematográfica;2025-02-28
CNPJ_04859;797273;78664;2014-10-04;Televisão aberta;2025-02-28
CNPJ_04860;21084747;596008;2013-06-22;Consultoria empresarial;2025-02-28
CNPJ_04861;186706101;98844;1995-01-20;Construção de barragens;2025-02-28
CNPJ_04862;152433;-3455;2022-06-03;Armazenamento geral;2025-02-28
CNPJ_04863;21789238;415084;2012-05-19;Comércio atacadista de tecidos;2025-02-28
CNPJ_04864;131566;15946;2020-03-19;Comércio atacadista de tecidos;2025-02-28
CNPJ_04865;246432;-19550;2019-03-17;Televisão aberta;2025-02-28
CNPJ_04866;1490050;80008;2014-10-03;Fabricação de móveis;2025-02-28
CNPJ_04867;1351854;-50368;2022-07-05;Fabricação de móveis;2025-02-28
CNPJ_04868;1673515;-47315;2015-02-28;Atividades de bancos múltiplos;2025-02-28
CNPJ_04869;2998258;19675;2016-08-07;Comércio atacadista de medicamentos;2025-02-28
CNPJ_04870;2134873;272735;2015-07-01;Televisão aberta;2025-02-28
CNPJ_04871;2057179;11925;2018-11-04;Produção de alumínio;2025-02-28
CNPJ_04872;883985;16648;2016-08-28;Extração de petróleo e gás natural;2025-02-28
CNPJ_04873;209854;5321;2023-10-09;Serviços de tecnologia da informação;2025-02-28
CNPJ_04874;248849;-23163;2021-01-13;Transporte rodoviário de carga;2025-02-28
CNPJ_04875;20452001;-1331124;2017-10-24;Construção de barragens;2025-02-28
CNPJ_04876;17999095;50831;2005-10-18;Geração de energia elétrica;2025-02-28
CNPJ_04877;1768272;25155;2017-05-23;Consultoria empresarial;2025-02-28
CNPJ_04878;1338138;-113748;2018-08-09;Transporte ferroviário de carga;2025-02-28
CNPJ_04879;291466;-4952;2021-02-14;Produção de ferro-gusa;2025-02-28
CNPJ_04880;147588395;-9624972;2015-06-20;Cultivo de arroz;2025-02-28
CNPJ_04881;295188;17262;2020-12-03;Montagem industrial;2025-02-28
CNPJ_04882;2267973;-159187;2021-02-12;Produção de alumínio;2025-02-28
CNPJ_04883;1088875;28595;2014-06-08;Produção de alumínio;2025-02-28
CNPJ_04884;18361997;408310;2013-06-04;Comércio atacadista de tecidos;2025-02-28
CNPJ_04885;2381071;234479;2020-10-06;Serviços de tecnologia da informação;2025-02-28
CNPJ_04886;135029;-1056;2023-08-28;Correios e entregas expressas;2025-02-28
CNPJ_04887;1211554;-149304;2019-11-05;Comércio atacadista de bebidas;2025-02-28
CNPJ_04888;82538;-7618;2019-09-18;Transporte rodoviário de carga;2025-02-28
CNPJ_04889;2428917;188381;2018-09-08;Construção de rodovias;2025-02-28
CNPJ_04890;203770;-13305;2019-12-11;Comércio varejista de combustíveis;2025-02-28
CNPJ_04891;2831231;160484;2018-04-03;Cultivo de arroz;2025-02-28
CNPJ_04892;197807;-19258;2019-08-13;Fabricação de móveis;2025-02-28
CNPJ_04893;612486;4361;2017-07-28;Geração de energia elétrica;2025-02-28
CNPJ_04894;16311511;1024935;2002-03-06;Extração de petróleo e gás natural;2025-02-28
CNPJ_04895;820639;57094;2014-05-02;Planos de saúde;2025-02-28
CNPJ_04896;2570751;96443;2016-04-28;Construção de rodovias;2025-02-28
CNPJ_04897;1802655;162749;2016-03-23;Fabricação de caminhões e ônibus;2025-02-28
CNPJ_04898;45006804;-819299;1998-05-29;Telecomunicações sem fio;2025-02-28
CNPJ_04899;2403121;95251;2017-11-02;Comércio varejista de combustíveis;2025-02-28
CNPJ_04900;1294080;-53857;2019-05-24;Comércio atacadista de tecidos;2025-02-28
CNPJ_04901;25960551;2345895;2002-11-22;Atividades de bancos múltiplos;2025-02-28
CNPJ_04902;176218;-10870;2019-10-19;Engenharia civil;2025-02-28
CNPJ_04903;179910507;6067218;1998-06-15;Restaurantes e similares;2025-02-28
CNPJ_04904;50977;6143;2022-02-08;Produção de alumínio;2025-02-28
CNPJ_04905;934186;62493;2020-06-18;Fabricação de automóveis;2025-02-28
CNPJ_04906;1185438;65467;2019-01-20;Televisão por assinatura;2025-02-28
CNPJ_04907;2377058;-68036;2020-01-19;Fabricação de móveis;2025-02-28
CNPJ_04908;1480035;-19544;2019-07-07;Produção de ferro-gusa;2025-02-28
CNPJ_04909;92412;-8364;2021-01-01;Correios e entregas expressas;2025-02-28
CNPJ_04910;157729;2379;2022-05-10;Fabricação de móveis;2025-02-28
CNPJ_04911;1671810;-136348;2015-02-04;Administração pública;2025-02-28
CNPJ_04912;22667695;3190411;2010-10-10;Televisão por assinatura;2025-02-28
CNPJ_04913;1847896;183788;2014-06-06;Construção de edifícios;2025-02-28
CNPJ_04914;78561;-10842;2019-09-12;Fabricação de automóveis;2025-02-28
CNPJ_04915;635659;-3737;2017-02-25;Hotéis e pousadas;2025-02-28
CNPJ_04916;12624315;1887880;2020-08-06;Atividades de bancos múltiplos;2025-02-28
CNPJ_04917;709010;-45465;2019-02-07;Construção de rodovias;2025-02-28
CNPJ_04918;2406292;-306946;2019-01-26;Comércio atacadista de calçados;2025-02-28
CNPJ_04919;186381;-9962;2023-05-20;Atividades hospitalares;2025-02-28
CNPJ_04920;173289;-9325;2021-09-24;Televisão aberta;2025-02-28
CNPJ_04921;191921;-10073;2020-11-08;Construção de edifícios;2025-02-28
CNPJ_04922;73418;941;2020-12-18;Planos de saúde;2025-02-28
CNPJ_04923;71154;-5628;2023-06-20;Comércio atacadista de calçados;2025-02-28
CNPJ_04924;22292799;-1435463;2016-01-27;Padaria e confeitaria;2025-02-28
CNPJ_04925;2557324;-130041;2014-10-26;Consultoria empresarial;2025-02-28
CNPJ_04926;22839174;-1526317;2009-05-04;Seguros de vida;2025-02-28
CNPJ_04927;5707743;679775;2020-03-05;Televisão por assinatura;2025-02-28
CNPJ_04928;9450031;692537;2013-01-06;Construção de barragens;2025-02-28
CNPJ_04929;259279;24574;2020-10-26;Seguros de vida;2025-02-28
CNPJ_04930;78150393;7578250;2012-04-08;Consultoria empresarial;2025-02-28
CNPJ_04931;138720;-2584;2023-05-19;Cultivo de arroz;2025-02-28
CNPJ_04932;86223;-4967;2021-12-10;Montagem industrial;2025-02-28
CNPJ_04933;86597;-7494;2021-05-23;Fabricação de automóveis;2025-02-28
CNPJ_04934;77439968;4981582;1998-07-29;Cultivo de arroz;2025-02-28
CNPJ_04935;157593;13378;2023-03-02;Armazenamento geral;2025-02-28
CNPJ_04936;2050584;-135441;2021-08-07;Construção de rodovias;2025-02-28
CNPJ_04937;8401264;-621720;1999-09-13;Construção de rodovias;2025-02-28
CNPJ_04938;2906756;208994;2019-01-01;Montagem industrial;2025-02-28
CNPJ_04939;2731017;52022;2017-10-15;Produção de ferro-gusa;2025-02-28
CNPJ_04940;12505834;195555;2009-06-21;Padaria e confeitaria;2025-02-28
CNPJ_04941;2867128;168832;2015-11-06;Montagem industrial;2025-02-28
CNPJ_04942;2640550;-251036;2014-08-01;Planos de saúde;2025-02-28
CNPJ_04943;232707;73;2023-07-31;Cultivo de arroz;2025-02-28
CNPJ_04944;244710;-14848;2023-03-16;Transporte ferroviário de carga;2025-02-28
CNPJ_04945;56486513;-5766515;2003-11-07;Atividades hospitalares;2025-02-28
CNPJ_04946;784345;31490;2015-06-25;Construção de edifícios;2025-02-28
CNPJ_04947;18171261;1249223;2014-07-15;Telecomunicações sem fio;2025-02-28
CNPJ_04948;199409;-17099;2020-08-17;Consultoria empresarial;2025-02-28
CNPJ_04949;180651941;19681874;2001-01-30;Correios e entregas expressas;2025-02-28
CNPJ_04950;2454344;235460;2018-02-03;Comércio atacadista de tecidos;2025-02-28
CNPJ_04951;118766910;-11515015;2002-01-18;Atividades hospitalares;2025-02-28
CNPJ_04952;1849281;106137;2018-01-30;Serviços de tecnologia da informação;2025-02-28
CNPJ_04953;68204;4640;2023-02-19;Construção de barragens;2025-02-28
CNPJ_04954;532752;-21471;2022-10-13;Comércio atacadista de alimentos;2025-02-28
CNPJ_04955;67445767;-4644868;2001-08-16;Produção de ferro-gusa;2025-02-28
CNPJ_04956;2192753;209919;2016-07-21;Consultoria empresarial;2025-02-28
CNPJ_04957;96478763;6159500;1997-08-01;Administração pública;2025-02-28
CNPJ_04958;421495;-14928;2022-05-06;Cultivo de trigo;2025-02-28
CNPJ_04959;52383389;-2271038;2007-10-06;Seguros de vida;2025-02-28
CNPJ_04960;2268947;-91153;2020-01-17;Construção de barragens;2025-02-28
CNPJ_04961;104930;2400;2020-08-29;Correios e entregas expressas;2025-02-28
CNPJ_04962;1209538;-88484;2018-10-17;Planos de saúde;2025-02-28
CNPJ_04963;2770414;68009;2016-07-05;Educação superior;2025-02-28
CNPJ_04964;1954410;-74344;2015-09-29;Fabricação de móveis;2025-02-28
CNPJ_04965;116155;-6740;2023-10-26;Administração pública;2025-02-28
CNPJ_04966;419804;-51934;2022-01-26;Telecomunicações sem fio;2025-02-28
CNPJ_04967;276091;9977;2022-01-15;Geração de energia elétrica;2025-02-28
CNPJ_04968;5303498;-290359;2020-10-26;Comércio atacadista de calçados;2025-02-28
CNPJ_04969;285860;-24602;2021-12-11;Extração de petróleo e gás natural;2025-02-28
CNPJ_04970;1763123;-57863;2022-05-19;Planos de saúde;2025-02-28
CNPJ_04971;92786;-7001;2023-11-08;Extração de minério de ferro;2025-02-28
CNPJ_04972;7899303;642927;2007-10-25;Engenharia civil;2025-02-28
CNPJ_04973;265337;-21579;2021-03-15;Construção de rodovias;2025-02-28
CNPJ_04974;2798569;192012;2017-12-03;Comércio varejista de alimentos;2025-02-28
CNPJ_04975;175598913;-10328823;2002-08-06;Comércio atacadista de alimentos;2025-02-28
CNPJ_04976;1814912;-79354;2016-04-25;Planos de saúde;2025-02-28
CNPJ_04977;232499;-31070;2021-07-12;Planos de saúde;2025-02-28
CNPJ_04978;269231;9163;2023-10-17;Televisão por assinatura;2025-02-28
CNPJ_04979;2526665;168547;2016-09-25;Correios e entregas expressas;2025-02-28
CNPJ_04980;1747862;-51601;2018-05-21;Comércio atacadista de calçados;2025-02-28
CNPJ_04981;218989;-16165;2022-09-08;Cultivo de soja;2025-02-28
CNPJ_04982;1703259;-3417;2015-05-22;Comércio varejista de alimentos;2025-02-28
CNPJ_04983;261466;-11271;2022-07-10;Seguros de vida;2025-02-28
CNPJ_04984;2770983;-161429;2020-07-09;Geração de energia elétrica;2025-02-28
CNPJ_04985;1142786;78809;2021-05-02;Telecomunicações sem fio;2025-02-28
CNPJ_04986;252037;-5179;2023-05-28;Construção de rodovias;2025-02-28
CNPJ_04987;2160277;-292612;2018-05-13;Produção de ferro-gusa;2025-02-28
CNPJ_04988;262342;-14458;2019-09-15;Extração de petróleo e gás natural;2025-02-28
CNPJ_04989;27766625;1986358;2004-05-28;Padaria e confeitaria;2025-02-28
CNPJ_04990;10913254;813879;2016-08-07;Produção de alumínio;2025-02-28
CNPJ_04991;2546298;-212060;2016-04-03;Restaurantes e similares;2025-02-28
CNPJ_04992;335893;-2139;2019-04-17;Construção de rodovias;2025-02-28
CNPJ_04993;57366;-3928;2023-01-01;Comércio atacadista de medicamentos;2025-02-28
CNPJ_04994;254022;2355;2019-03-28;Comércio atacadista de tecidos;2025-02-28
CNPJ_04995;178777;-2482;2022-06-16;Armazenamento geral;2025-02-28
CNPJ_04996;1877234;176326;2021-12-25;Telecomunicações sem fio;2025-02-28
CNPJ_04997;2660958;105936;2014-08-21;Comércio varejista de alimentos;2025-02-28
CNPJ_04998;82051;1015;2019-03-16;Televisão por assinatura;2025-02-28
CNPJ_04999;155012;15048;2023-02-09;Hotéis e pousadas;2025-02-28
CNPJ_05000;236298;-7751;2023-06-30;Cultivo de trigo;2025-02-28
CNPJ_05001;5160256;-773816;2016-11-17;Produção de alumínio;2025-02-28
CNPJ_05002;2524661;207391;2018-05-27;Cultivo de trigo;2025-02-28
CNPJ_05003;143809;6349;2020-05-28;Distribuição de energia elétrica;2025-02-28
CNPJ_05004;266423;-20577;2020-09-08;Educação superior;2025-02-28
CNPJ_05005;901146;77133;2017-09-16;Cultivo de trigo;2025-02-28
CNPJ_05006;142339;-12694;2022-12-08;Televisão aberta;2025-02-28
CNPJ_05007;753652;20112;2016-09-16;Serviços de tecnologia da informação;2025-02-28
CNPJ_05008;725923;-7317;2016-07-06;Telecomunicações sem fio;2025-02-28
CNPJ_05009;2446083;-174300;2020-07-15;Construção de barragens;2025-02-28
CNPJ_05010;107046631;1442777;2014-09-29;Defesa nacional;2025-02-28
CNPJ_05011;1265176;105953;2021-04-09;Produção cinematográfica;2025-02-28
CNPJ_05012;23305441;-770623;2007-08-04;Comércio atacadista de calçados;2025-02-28
CNPJ_05013;294058;43096;2022-05-23;Cultivo de milho;2025-02-28
CNPJ_05014;22501462;1906660;2019-05-25;Serviços de tecnologia da informação;2025-02-28
CNPJ_05015;269171;-14775;2019-11-25;Atividades de bancos múltiplos;2025-02-28
CNPJ_05016;277214;20957;2023-12-17;Engenharia civil;2025-02-28
CNPJ_05017;6914484;568177;2015-01-25;Defesa nacional;2025-02-28
CNPJ_05018;65922;1094;2023-10-13;Cultivo de arroz;2025-02-28
CNPJ_05019;120914;4672;2019-04-03;Produção cinematográfica;2025-02-28
CNPJ_05020;98924;7697;2020-01-13;Cultivo de soja;2025-02-28
CNPJ_05021;167314;-13169;2022-01-02;Educação superior;2025-02-28
